deviceID,valCO2,date,time
444,798, 2020-10-29 , 21:51:34.289013 
 444,798, 2020-10-29 , 21:51:35.008680 
 444,798, 2020-10-29 , 21:51:36.098750 
 444,798, 2020-10-29 , 21:51:37.238304 
 444,798, 2020-10-29 , 21:51:38.327734 
 444,798, 2020-10-29 , 21:51:39.417033 
 444,798, 2020-10-29 , 21:51:40.506027 
 444,798, 2020-10-29 , 21:51:41.596507 
 444,798, 2020-10-29 , 21:51:42.685743 
 444,798, 2020-10-29 , 21:51:43.775106 
 444,798, 2020-10-29 , 21:51:44.865024 
 444,798, 2020-10-29 , 21:51:45.954545 
 444,798, 2020-10-29 , 21:51:47.044519 
 444,797, 2020-10-29 , 21:51:48.133697 
 444,797, 2020-10-29 , 21:51:49.322542 
 444,792, 2020-10-29 , 21:51:50.413519 
 444,790, 2020-10-29 , 21:51:51.502695 
 444,790, 2020-10-29 , 21:51:52.592140 
 444,787, 2020-10-29 , 21:51:53.682916 
 444,787, 2020-10-29 , 21:51:54.772359 
 444,777, 2020-10-29 , 21:51:55.861543 
 444,777, 2020-10-29 , 21:51:56.951047 
 444,755, 2020-10-29 , 21:51:58.040992 
 444,755, 2020-10-29 , 21:51:59.130631 
 444,710, 2020-10-29 , 21:52:00.220210 
 444,710, 2020-10-29 , 21:52:01.360933 
 444,671, 2020-10-29 , 21:52:02.500105 
 444,640, 2020-10-29 , 21:52:03.589454 
 444,640, 2020-10-29 , 21:52:04.678838 
 444,614, 2020-10-29 , 21:52:05.769520 
 444,614, 2020-10-29 , 21:52:06.858646 
 444,590, 2020-10-29 , 21:52:07.948112 
 444,590, 2020-10-29 , 21:52:09.038643 
 444,569, 2020-10-29 , 21:52:10.128172 
 444,569, 2020-10-29 , 21:52:11.367575 
 444,551, 2020-10-29 , 21:52:12.456851 
 444,534, 2020-10-29 , 21:52:13.547358 
 444,534, 2020-10-29 , 21:52:14.636844 
 444,520, 2020-10-29 , 21:52:15.726148 
 444,520, 2020-10-29 , 21:52:16.816546 
 444,507, 2020-10-29 , 21:52:17.905790 
 444,507, 2020-10-29 , 21:52:18.996233 
 444,494, 2020-10-29 , 21:52:20.085574 
 444,494, 2020-10-29 , 21:52:21.175020 
 444,488, 2020-10-29 , 21:52:22.265544 
 444,488, 2020-10-29 , 21:52:23.404840 
 444,479, 2020-10-29 , 21:52:24.494380 
 444,472, 2020-10-29 , 21:52:25.585313 
 444,472, 2020-10-29 , 21:52:26.675114 
 444,467, 2020-10-29 , 21:52:27.764568 
 444,467, 2020-10-29 , 21:52:28.853694 
 444,461, 2020-10-29 , 21:52:29.944180 
 444,461, 2020-10-29 , 21:52:31.033661 
 444,453, 2020-10-29 , 21:52:32.125000 
 444,453, 2020-10-29 , 21:52:33.213823 
 444,447, 2020-10-29 , 21:52:34.304680 
 444,447, 2020-10-29 , 21:52:35.443430 
 444,445, 2020-10-29 , 21:52:36.533301 
 444,443, 2020-10-29 , 21:52:37.622964 
 444,443, 2020-10-29 , 21:52:38.714471 
 444,441, 2020-10-29 , 21:52:40.893571 
 444,439, 2020-10-29 , 21:52:41.982892 
